src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us
0,1,az1a,az1b,1,1,0,request,2,1,27.542228325035772,24.694339324739992,24.694339324739992,30.311712757322717,27.160854489031426,27.160854489031426,31.73046499261621,33.58754874167791,33.58754874167791,0.0,0.0,0.0,47.97079792542543,47.70582420485486,47.70582420485486,47.571250000000006,1.2581118578691957
0,1,az1a,az1b,1,1,1,request,2,1,26.50564895157609,25.702803645931358,25.702803645931358,28.80498024946931,28.54974168531968,28.54974168531968,31.597107053543173,30.44909513233963,30.44909513233963,0.0,0.0,0.0,46.60145808998999,48.44071594249249,48.44071594249249,48.25725,1.3426637359818585
0,1,az1a,az1b,1,1,2,request,2,1,24.883166377633636,23.25177108143916,23.25177108143916,29.273992647510408,25.613352764168006,25.613352764168006,35.44807448488839,29.215180810562863,27.384130460956953,0.0,0.0,0.0,46.428545811111114,47.53055816586587,47.53055816586587,47.34925,0.2070370406949067
0,1,az1a,az1b,1,1,3,request,2,1,23.700263916918075,20.896673611033705,20.896673611033705,26.44112629750342,22.967741362969882,22.967741362969882,29.082962062005546,26.138548215157822,26.138548215157822,0.0,0.0,0.0,44.95934048583584,44.2897506427928,44.2897506427928,44.15675,0.9614155859639268
0,2,az1a,az2a,1,2,0,request,2,1,208.754928892555,206.09212316816027,206.09212316816027,214.64530853237795,210.64780152148444,209.2896381612273,219.81761601648654,217.80203598257302,214.61311237417618,169.15152713168175,168.07716816446447,152.49243734344344,248.97687736801805,264.4532035756757,264.4532035756757,440.98125000000005,2.1375411314824646
0,2,az1a,az2a,1,2,1,request,2,1,229.17584789670678,227.31863173567848,227.31863173567848,231.14165939686896,228.32561126610648,228.32561126610648,246.57709596711342,232.02962787780635,232.02962787780635,190.20203587927926,186.78868546686675,171.61094697172166,285.41636488508516,283.85689030120125,283.85689030120125,453.30949999999996,1.2708739245375682
0,2,az1a,az2a,1,2,2,request,2,1,208.00920434442793,206.92284034904702,206.92284034904702,211.78155310528842,209.84961775579475,209.84961775579475,217.5717059623014,217.75364228292062,217.75364228292062,168.49764322292287,166.07548335925944,166.07548335925944,245.82551217452448,252.33657285320328,252.33657285320328,440.26800000000003,1.4891692635110303
0,2,az1a,az2a,1,2,3,request,2,1,210.45326851679715,208.45949993057008,208.45949993057008,214.91098147709135,211.0786059463195,211.0786059463195,221.47040837034308,212.47245483668502,212.47245483668502,157.65979694499498,168.43043611531536,167.60854597102104,269.1689005997997,251.41960671005998,251.41960671005998,435.86825,0.672229614258697
0,3,az1a,az2b,1,2,0,request,2,1,158.5352688001928,156.86829496669037,156.86829496669037,162.86517372516298,160.2675719293821,160.2675719293821,165.77432798857006,164.26140926933599,164.26140926933599,118.788787332933,116.20703042097087,109.5416449780279,211.1026785588088,206.57297631541547,206.57297631541547,314.35325,2.841261782076259
0,3,az1a,az2b,1,2,1,request,2,1,156.24458092831833,156.13683811432216,156.13683811432216,160.29830087576954,158.97564815702117,158.97564815702117,164.00367765141797,162.63482029621193,162.63482029621193,110.73697705720721,113.77416943198199,113.77416943198199,211.90258802932925,210.29846378408413,200.8407109346846,310.874,0.6881179104113357
0,3,az1a,az2b,1,2,2,request,2,1,155.61306173135765,154.36853084750322,154.36853084750322,157.8437557242438,156.9548266369643,156.9548266369643,164.33646368818023,160.95112441564277,160.95112441564277,117.66884357517526,110.42095560125134,105.91969319979981,212.4309655384384,205.99195924434446,205.99195924434446,310.49725,0.7121367594677679
0,3,az1a,az2b,1,2,3,request,2,1,157.19798634158525,155.95571846293467,155.95571846293467,160.85071887666004,157.8215025376206,157.8215025376206,164.86691512339817,161.12342771219147,161.12342771219147,119.14428833368379,107.72234004084086,107.72234004084086,205.43536066231223,212.91050359009006,205.3525488191191,312.04949999999997,1.5452652618585603
0,4,az1a,az3a,1,3,0,request,2,1,238.54200446495145,237.62468366558687,237.62468366558687,240.95828432758321,240.037579955455,240.037579955455,248.63855998560683,247.64874303172425,247.64874303172425,0.0,0.0,0.0,480.0440544375375,480.426818024975,480.426818024975,480.26099999999997,0.7105227767460747
0,4,az1a,az3a,1,3,1,request,2,1,238.80961533972305,237.7863256434638,237.7863256434638,241.56028984538216,242.19529721363713,242.19529721363713,246.16665576743102,246.34771037648048,246.34771037648048,0.0,0.0,0.0,481.0668309255756,481.3011274852853,481.3011274852853,481.07624999999996,0.32871093267743845
0,4,az1a,az3a,1,3,2,request,2,1,238.9171956114044,239.03703362553242,239.03703362553242,241.7999441242867,241.74587032571745,241.74587032571745,250.25232875949663,251.03315519120684,251.03315519120684,0.0,0.0,0.0,481.2570322872373,482.1090809548048,482.1090809548048,481.94075,0.2134725610171131
0,4,az1a,az3a,1,3,3,request,2,1,238.7501235702431,235.90950670788465,235.90950670788465,240.86195415132562,239.30541489976574,239.30541489976574,246.38180136703215,259.13571305122366,259.13571305122366,0.0,0.0,0.0,479.33290049314314,477.92858833643646,477.92858833643646,477.71575,0.5935410559749812
0,5,az1a,az3b,1,3,0,request,2,1,251.72580848515668,254.06544097414317,254.06544097414317,253.3340398989721,256.4185868844064,256.4185868844064,261.1054891980141,264.67018709067605,258.51189388130814,0.0,0.0,0.0,482.17311866731734,480.775057926026,480.775057926026,480.57375,2.1273999561142887
0,5,az1a,az3b,1,3,1,request,2,1,251.59603284245682,253.28086786993828,253.28086786993828,254.38705998901634,255.35507652615533,255.35507652615533,260.7955052565306,262.5116675016181,259.5886567444844,0.0,0.0,0.0,479.91763188343344,479.2575609487988,478.2210301509009,479.0695,2.7538990930897285
0,5,az1a,az3b,1,3,2,request,2,1,251.53360456658555,253.9242353690173,253.9242353690173,254.27781234542422,257.7595846180252,257.7595846180252,271.1596041266734,265.98148673466716,265.98148673466716,0.0,0.0,0.0,482.17084915815815,480.6248893588088,480.6248893588088,480.45,3.89153640747989
0,5,az1a,az3b,1,3,3,request,2,1,251.59827040744992,253.51511700232913,253.51511700232913,255.26332008009055,256.12010662690324,256.12010662690324,259.64935230776973,258.3151274126512,257.6610974924585,0.0,0.0,0.0,480.9425923995996,480.7455823159159,479.7896054346346,480.5855,3.4764485762909203
0,6,az1a,az4a,1,4,0,request,2,1,187.92634104690188,189.13361144101833,189.13361144101833,191.4238720897063,195.39602370101375,195.39602370101375,201.9761452872444,209.90997043141354,209.41187858301788,150.16406863098098,149.17093160390388,137.42963661281277,231.57915983528534,244.0146017150651,244.0146017150651,395.22925,0.44707228810781885
0,6,az1a,az4a,1,4,1,request,2,1,205.51792848269315,206.7753960251512,206.7753960251512,208.17808216676957,209.22511030466438,209.22511030466438,219.0966758513085,214.23304315569158,214.23304315569158,169.2956675325325,157.3290429913414,157.3290429913414,261.87197793658663,255.9267788261261,255.9267788261261,411.41075,1.1437034942591708
0,6,az1a,az4a,1,4,2,request,2,1,205.52790180206938,207.6455463224073,207.6455463224073,208.5147314117433,209.68022285747978,209.68022285747978,212.743550142668,215.29007334939024,213.07240036237755,159.5578171606607,163.28518347592598,163.28518347592598,258.4357710229229,253.1520457579079,253.1520457579079,413.53925000000004,0.5954858924497444
