src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us,candidates_considered
1,3,az1b,az2b,1,2,2,request,2,1,154.89645102171676,156.83868340526828,156.83868340526828,157.37558820727259,159.1190122075128,159.1190122075128,159.51810278095525,161.18701607133085,161.18701607133085,115.92972607787794,112.48885275880876,112.21614403338334,196.7423768177678,197.90583779039036,197.90583779039036,314.48575,0.06649697274738742,16
1,4,az1b,az3a,1,3,0,request,2,1,237.85415761121845,238.0551489275518,238.0551489275518,241.0126844299029,241.31075541534528,241.31075541534528,249.73381439424114,246.86639987156903,246.86639987156903,0.0,0.0,0.0,481.17302171296296,481.59525254344345,479.88271394334333,481.4095,0.14167752897469654,16
1,7,az1b,az4b,1,4,3,request,2,1,168.89760339252996,169.727104354152,169.727104354152,173.2050107902648,172.9928637903922,172.9928637903922,177.49757308739956,181.7112832930722,181.7112832930722,124.97168497832824,126.59012237147142,126.59012237147142,224.57665395405405,211.30477069574584,211.30477069574584,350.596,1.2114353104006454,16
0,8,az1a,az5a,1,5,0,request,2,1,105.67718839917751,105.83930911323708,105.83930911323708,111.62129044893892,112.12604788498628,112.04461723864343,116.04923249329714,123.77759569646624,123.77759569646624,65.52714009084087,67.91730569234234,50.54121522117115,149.46171036361375,162.53664172867866,162.53664172867866,211.867,0.23882437619602115,16
0,11,az1a,az6b,1,6,1,request,2,1,227.96789678812956,228.28819217720422,228.1824097288542,239.3450707046784,240.44966996696633,235.8597226782715,274.8303664308426,264.42423939501924,260.7202534435165,182.18586520775784,192.33670499014016,192.33670499014016,277.0990092556556,275.5547803172673,268.79618722502505,468.04949999999997,0.835755424065951,16
3,0,az2b,az1a,2,1,1,request,1,1,154.42895115931168,155.46656368265982,155.46656368265982,156.60400490396563,158.2545974931835,158.2545974931835,162.01015657564653,166.09584805411313,166.09584805411313,112.68550079724716,109.48867707177182,99.87512806706701,196.4981347305806,208.92408189434434,208.92408189434434,310.874,0.6303720785669782,16
3,4,az2b,az3a,2,3,1,request,2,1,295.36359444833266,295.3361176055871,295.3361176055871,299.43426690675267,300.3411971985216,298.6347332431621,321.39344472799536,370.58517544075636,370.58517544075636,0.0,0.0,0.0,692.8199215691191,693.7866286376376,692.1215378607608,693.60425,0.08551457793197415,16
3,7,az2b,az4b,2,4,1,request,2,1,131.42986273576662,127.51169005880143,127.51169005880143,135.19652113626003,130.23469914031182,129.55827371255378,141.66473927783915,134.59414142368456,134.59414142368456,88.2074785648649,89.7908992633634,89.7908992633634,187.33772112467466,167.5535217594594,166.61233150200195,346.23075,3.266013318717654,16
3,8,az2b,az5a,2,5,2,request,2,1,109.38863492820784,111.5064794185491,111.5064794185491,112.2108408927001,114.96065356546434,114.96065356546434,115.23533827606293,117.93240633552752,117.93240633552752,67.99962067417417,71.76830378683687,71.76830378683687,165.43666968278274,161.35730599259267,149.8278350361362,223.53,0.01753533266303009,16
3,11,az2b,az6b,2,6,1,request,2,1,331.36308147677005,330.6171865980579,330.6171865980579,334.1668308595491,334.88327916767423,334.88327916767423,342.36210072607093,338.3617367993603,338.28598606061297,283.77983712652656,286.8253680708708,286.8253680708708,380.53318174709716,385.39029399459463,377.8604644290291,934.159,1.6340812152054127,16
5,0,az3b,az1a,3,1,1,request,1,1,230.04466748732796,227.6714260061346,227.6714260061346,231.71414153059396,229.82465035550518,229.82465035550518,240.32679659660192,238.6633561597363,238.6633561597363,0.0,0.0,0.0,478.136548781982,479.2575609487988,479.2575609487988,479.0695,1.8047364476122993,16
5,2,az3b,az2a,3,2,2,request,1,1,306.94567693372073,303.5212300549634,303.5212300549634,309.0666395441459,306.06585042067775,306.06585042067775,310.52233579490206,310.39595662801656,310.39595662801656,0.0,0.0,0.0,669.9031143382383,669.9679974398399,669.3204010321322,669.732,4.506175707526495,16
