src,dst,host_src,host_dst,az_src,az_dst,flows,p50_us_flow_span_median,p50_us_flow_span_max,p50_us_same_role_change_median,p50_us_same_role_change_max,p50_us_flow_correlation_0_2,p50_us_flow_correlation_1_3,p50_us_flow_correlation_2_4,rtt_p50_us_flow_span_median,rtt_p50_us_flow_span_max,rtt_p50_us_same_role_change_median,rtt_p50_us_same_role_change_max,rtt_p50_us_flow_correlation_0_2,rtt_p50_us_flow_correlation_1_3,rtt_p50_us_flow_correlation_2_4
0,1,az1a,az1b,1,1,4,3.841964408117697,5.062488973962026,1.1097637219165613,1.9523777794056798,0.9130846047074836,0.9712018029658372,0.8561977004978721,4.100499999999997,6.033500000000004,0.8191250000000032,1.8359999999999985,0.6960136992128075,0.9913914845280459,0.9567903804358284
0,2,az1a,az2a,1,2,4,21.166643552278856,21.384938891252318,1.0302527092797078,2.1375411314824646,0.9983291862029549,0.9944155137746884,0.9976606739718574,17.441249999999968,17.644749999999988,0.9607499999999902,2.747500000000059,0.9733500322108894,0.9776087325914745,0.9721288231784195
0,3,az1a,az2b,1,2,4,2.499764119187148,3.0217006356315324,0.7301809978560954,2.841261782076259,0.7742844323289743,0.8497489654931045,0.9502377645828997,3.8559999999999945,5.441750000000013,0.9549999999999841,2.3812500000000227,0.8598142685501806,0.9860058665226905,0.8828394168609726
0,4,az1a,az3a,1,3,4,1.1737743533662979,3.1275269176477707,0.7631559936858281,2.9511023490758816,-0.004557004354355963,-0.27152678285639903,0.6062601188131596,2.1607500000000073,4.224999999999966,0.7778749999999945,2.420749999999998,0.3536420909362208,0.9508630589553603,0.9199533705981059
0,5,az1a,az3b,1,3,4,1.815422663279037,2.423318678250496,2.692551134767541,3.89153640747989,0.9264075549742223,0.9398599850726329,0.379332388768093,2.235249999999951,2.6797500000000127,1.0509999999999877,1.695250000000044,0.39719074630566326,0.5416455890109704,0.8427256658679141
0,6,az1a,az4a,1,4,4,20.48618939991522,21.145206162519344,0.8957515313269511,2.117644520337933,0.9996796400108203,0.9993593131291801,0.9992764414075215,19.827999999999975,22.770249999999976,0.5283749999999827,3.156000000000006,0.996600189031029,0.9917897802234316,0.9999938357250645
0,7,az1a,az4b,1,4,4,4.116937838045089,6.695743913245082,0.9008656329323088,1.5200469133654337,0.9539097018909709,0.9175050658275252,0.9967766799259945,14.019000000000005,15.115250000000003,0.7694999999999652,2.4225000000000136,0.9958393638372308,0.9811202785852305,0.980122899072584
0,8,az1a,az5a,1,5,4,1.8144592372470782,2.668651424082398,0.3171177930569016,0.8582995075134079,0.9144318753628604,0.9776717931820388,0.6647853963229556,1.897500000000008,2.9979999999999905,0.516124999999974,1.4284999999999854,0.6225668403434413,0.7279110243386506,0.6864024300163379
0,9,az1a,az5b,1,5,4,2.369323187046504,3.3122225076960774,1.1412865141721298,2.6658632641738507,0.531527386589864,0.41212141846038,-0.6732306507228664,3.3532500000000027,4.712999999999994,1.229875000000007,3.127749999999992,0.7098313288004605,0.18620793097762733,0.19921371942850585
0,10,az1a,az6a,1,6,4,10.814810813605504,13.496422655455945,1.4811698912890563,3.434710420990257,0.986087585409423,0.8461506951552752,0.9756956361307085,10.91849999999988,13.775750000000016,0.7982500000000528,7.20799999999997,0.9856788938737694,0.7292661941689673,0.9914603786651982
0,11,az1a,az6b,1,6,4,17.22626663418893,21.69050619291113,1.6075008704685416,2.672989081614986,0.9833574207797001,0.9828718902080648,0.9890067992283605,17.25950000000006,21.153500000000008,1.4361249999999757,4.638749999999959,0.9902698973057573,0.9370877744757383,0.9909181944366753
1,0,az1b,az1a,1,1,4,1.1628821621559347,1.4792014135168827,1.483020565075451,1.9948605130192867,0.4243729573049551,0.9610447563809761,0.9706422131746774,4.100499999999997,6.033500000000004,0.8191250000000032,1.8359999999999985,0.6960136992128075,0.9913914845280459,0.9567903804358284
1,2,az1b,az2a,1,2,4,28.031574989377873,29.474900017814093,1.0210690169279957,1.872402903159525,0.9988941851579078,0.9999890746115354,0.9990790836952095,54.219749999999976,56.34475000000003,0.8217500000000086,1.9359999999999786,0.9996578593256163,0.9997572707494765,0.9999053703629526
1,3,az1b,az2b,1,2,4,1.775303527212401,1.8080131526161836,0.8600799185148134,1.9908277376414958,0.43375064308024397,0.6360555394263032,0.7367580808900743,4.7312500000000455,7.650249999999971,0.5191250000000025,2.6359999999999673,0.9391997554738133,0.992174907310581,0.9800852660276087
