name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,8,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,iteration,3,2,1,20461,1371.9036703954346,1369.9622696837926,ns,256.0,186866460.2413383,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,9,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,0,1,29408,943.1166009247958,941.6908324265527,ns,256.0,271851430.6232951,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,9,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,1,1,29408,937.8832970627163,937.4474632753008,ns,256.0,273081969.95442754,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,9,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,2,1,29408,931.447973339165,931.4690900435291,ns,256.0,274834670.0243555,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,10,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,0,1,21788,1277.4975674682212,1277.5292821736757,ns,256.0,200386796.2732127,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,10,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,1,1,21788,1279.146364972844,1278.8831007894269,ns,256.0,200174667.9129443,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,10,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,2,1,21788,1269.2557829980572,1269.286029006787,ns,256.0,201688188.5955361,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,11,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,0,1,23179,1166.180810216304,1164.8468441261489,ns,256.0,219771381.3544711,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,11,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,1,1,23179,1164.5377712569484,1164.257690150571,ns,256.0,219882593.14558795,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,11,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,2,1,23179,1156.8385607658854,1151.3360800724806,ns,256.0,222350367.04824182,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
